120_90_accumulated_energy,355_90_accumulated_energy,590_90_accumulated_energy,0_295_accumulated_energy,240_295_accumulated_energy,470_295_accumulated_energy,700_295_accumulated_energy,120_500_accumulated_energy,355_500_accumulated_energy,590_500_accumulated_energy
702500.0,702500.0,491750.0,702500.0,702500.0,702500.0,702500.0,491750.0,702500.0,702500.0
702600.0,702600.0,491820.0,702600.0,702600.0,702600.0,702600.0,491820.0,702600.0,702600.0
702700.0,702700.0,491890.0,702700.0,702700.0,702700.0,702700.0,491890.0,702700.0,702700.0
702800.0,702800.0,491960.0,702800.0,702800.0,702800.0,702800.0,491960.0,702800.0,702800.0
702900.0,702900.0,492030.0,702900.0,702900.0,702900.0,702900.0,492030.0,702900.0,702900.0
703000.0,703000.0,492100.0,703000.0,703000.0,703000.0,703000.0,492100.0,703000.0,703000.0
703100.0,703100.0,492170.0,703100.0,703100.0,703100.0,703100.0,492170.0,703100.0,703100.0
703200.0,703200.0,492240.0,703200.0,703200.0,703200.0,703200.0,492240.0,703200.0,703200.0
703300.0,703300.0,492310.0,703300.0,703300.0,703300.0,703300.0,492310.0,703300.0,703300.0
703400.0,703400.0,492380.0,703400.0,703400.0,703400.0,703400.0,492380.0,703400.0,703400.0
703500.0,703500.0,492450.0,703500.0,703500.0,703500.0,703500.0,492450.0,703500.0,703500.0
703600.0,703600.0,492520.0,703600.0,703600.0,703600.0,703600.0,492520.0,703600.0,703600.0
703700.0,703700.0,492590.0,703700.0,703700.0,703700.0,703700.0,492590.0,703700.0,703700.0
703800.0,703800.0,492660.0,703800.0,703800.0,703800.0,703800.0,492660.0,703800.0,703800.0
703900.0,703900.0,492730.0,703900.0,703900.0,703900.0,703900.0,492730.0,703900.0,703900.0
704000.0,704000.0,492800.0,704000.0,704000.0,704000.0,704000.0,492800.0,704000.0,704000.0
704100.0,704100.0,492870.0,704100.0,704100.0,704100.0,704100.0,492870.0,704100.0,704100.0
704200.0,704200.0,492940.0,704200.0,704200.0,704200.0,704200.0,492940.0,704200.0,704200.0
704300.0,704300.0,493010.0,704300.0,704300.0,704300.0,704300.0,493010.0,704300.0,704300.0
704400.0,704400.0,493080.0,704400.0,704400.0,704400.0,704400.0,493080.0,704400.0,704400.0
704500.0,704500.0,493150.0,704500.0,704500.0,704500.0,704500.0,493150.0,704500.0,704500.0
704600.0,704600.0,493220.0,704600.0,704600.0,704600.0,704600.0,493220.0,704600.0,704600.0
704700.0,704700.0,493290.0,704700.0,704700.0,704700.0,704700.0,493290.0,704700.0,704700.0
704800.0,704800.0,493360.0,704800.0,704800.0,704800.0,704800.0,493360.0,704800.0,704800.0
704900.0,704900.0,493430.0,704900.0,704900.0,704900.0,704900.0,493430.0,704900.0,704900.0
705000.0,705000.0,493500.0,705000.0,705000.0,705000.0,705000.0,493500.0,705000.0,705000.0
705100.0,705100.0,493570.0,705100.0,705100.0,705100.0,705100.0,493570.0,705100.0,705100.0
705200.0,705200.0,493640.0,705200.0,705200.0,705200.0,705200.0,493640.0,705200.0,705200.0
705300.0,705300.0,493710.0,705300.0,705300.0,705300.0,705300.0,493710.0,705300.0,705300.0
705400.0,705400.0,493780.0,705400.0,705400.0,705400.0,705400.0,493780.0,705400.0,705400.0
705500.0,705500.0,493850.0,705500.0,705500.0,705500.0,705500.0,493850.0,705500.0,705500.0
705600.0,705600.0,493920.0,705600.0,705600.0,705600.0,705600.0,493920.0,705600.0,705600.0
705700.0,705700.0,493990.0,705700.0,705700.0,705700.0,705700.0,493990.0,705700.0,705700.0
705800.0,705800.0,494060.0,705800.0,705800.0,705800.0,705800.0,494060.0,705800.0,705800.0
705900.0,705900.0,494130.0,705900.0,705900.0,705900.0,705900.0,494130.0,705900.0,705900.0
706000.0,706000.0,494200.0,706000.0,706000.0,706000.0,706000.0,494200.0,706000.0,706000.0
706100.0,706100.0,494270.0,706100.0,706100.0,706100.0,706100.0,494270.0,706100.0,706100.0
706200.0,706200.0,494340.0,706200.0,706200.0,706200.0,706200.0,494340.0,706200.0,706200.0
706300.0,706300.0,494410.0,706300.0,706300.0,706300.0,706300.0,494410.0,706300.0,706300.0
706400.0,706400.0,494480.0,706400.0,706400.0,706400.0,706400.0,494480.0,706400.0,706400.0
706500.0,706500.0,494550.0,706500.0,706500.0,706500.0,706500.0,494550.0,706500.0,706500.0
706600.0,706600.0,494620.0,706600.0,706600.0,706600.0,706600.0,494620.0,706600.0,706600.0
706700.0,706700.0,494690.0,706700.0,706700.0,706700.0,706700.0,494690.0,706700.0,706700.0
706800.0,706800.0,494760.0,706800.0,706800.0,706800.0,706800.0,494760.0,706800.0,706800.0
706900.0,706900.0,494830.0,706900.0,706900.0,706900.0,706900.0,494830.0,706900.0,706900.0
707000.0,707000.0,494900.0,707000.0,707000.0,707000.0,707000.0,494900.0,707000.0,707000.0
707100.0,707100.0,494970.0,707100.0,707100.0,707100.0,707100.0,494970.0,707100.0,707100.0
707200.0,707200.0,495040.0,707200.0,707200.0,707200.0,707200.0,495040.0,707200.0,707200.0
707300.0,707300.0,495110.0,707300.0,707300.0,707300.0,707300.0,495110.0,707300.0,707300.0
707400.0,707400.0,495180.0,707400.0,707400.0,707400.0,707400.0,495180.0,707400.0,707400.0
707500.0,707500.0,495250.0,707500.0,707500.0,707500.0,707500.0,495250.0,707500.0,707500.0
707600.0,707600.0,495320.0,707600.0,707600.0,707600.0,707600.0,495320.0,707600.0,707600.0
707700.0,707700.0,495390.0,707700.0,707700.0,707700.0,707700.0,495390.0,707700.0,707700.0
707800.0,707800.0,495460.0,707800.0,707800.0,707800.0,707800.0,495460.0,707800.0,707800.0
707900.0,707900.0,495530.0,707900.0,707900.0,707900.0,707900.0,495530.0,707900.0,707900.0
708000.0,708000.0,495600.0,708000.0,708000.0,708000.0,708000.0,495600.0,708000.0,708000.0
708100.0,708100.0,495670.0,708100.0,708100.0,708100.0,708100.0,495670.0,708100.0,708100.0
708200.0,708200.0,495740.0,708200.0,708200.0,708200.0,708200.0,495740.0,708200.0,708200.0
708300.0,708300.0,495810.0,708300.0,708300.0,708300.0,708300.0,495810.0,708300.0,708300.0
708400.0,708400.0,495880.0,708400.0,708400.0,708400.0,708400.0,495880.0,708400.0,708400.0
708500.0,708500.0,495950.0,708500.0,708500.0,708500.0,708500.0,495950.0,708500.0,708500.0
708600.0,708600.0,496020.0,708600.0,708600.0,708600.0,708600.0,496020.0,708600.0,708600.0
708700.0,708700.0,496090.0,708700.0,708700.0,708700.0,708700.0,496090.0,708700.0,708700.0
708800.0,708800.0,496160.0,708800.0,708800.0,708800.0,708800.0,496160.0,708800.0,708800.0
